requested_domain,target_table_or_object,schema_or_namespace,observed_evidence,key_or_columns_to_validate,classification,notes
archive_schema,atlas_schema_revisions,atlas_schema_revisions,"1 base table restored",revision table and primary key,CONFIRMED_CORRECT,"Live catalog inspected after restore"
archive_schema,public,public,"109 base tables; 12 views; 94 sequences; 38 public functions",application relations and functions,CONFIRMED_CORRECT,"Live catalog inspected after restore"
archive_schema,staging,staging,"4 base tables; 4 sequences; 5 indexes",sap_migration_batches and domain staging tables,CONFIRMED_CORRECT,"Live catalog inspected after restore"
archive_schema,all application relations,atlas_schema_revisions/public/staging,"114 base tables; 12 views; 98 sequences; 38 public functions; archive TOC 1642",relation kind/schema/object counts,CONFIRMED_CORRECT,"System and pg_toast relations excluded from application inventory"
invoice_headers,public.invoices,public,"969,665 rows; invoice_number unique; metadata.sap_doc_entry populated",invoice_number; metadata; currency_code; invoice_status; discount_amount; total_amount,CONFIRMED_DATA_MISMATCH,"Header discount and total aggregates reconcile; all target currencies are USD and source cancellation/type fields are not preserved"
invoice_lines,public.invoice_lines,public,"5,472,485 rows; unique(invoice_id,line_number); all metadata source pairs unique",invoice_id; line_number; product_id; quantity; unit_price; discount_amount; line_total; tax_amount; uom_id; tax_category_id,CONFIRMED_DATA_MISMATCH,"Line totals/tax reconcile; line discount and UOM/tax-reference fields are absent"
products,public.products,public,"16,955 rows; 16,955 distinct metadata.sap_item_code values",sku; category_id; brand_id; base_uom_id; metadata,CONFIRMED_CORRECT,"Source OITM count and distinct target SAP keys match; brand is NULL because source OMRG is absent"
categories,public.product_categories,public,"27 rows; all have SAP item-group metadata",code; name; parent_id; metadata,CONFIRMED_CORRECT,"Matches source OITB count"
product_types,public.products.product_type,public,"No separate product-type relation observed",product_type,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"Product grouping is represented through categories; no separate SAP product-type path was found"
brands,public.brands,public,"0 rows; all 16,955 product brand_id values NULL",brand key/name,CONFIRMED_SOURCE_DATA_CONDITION,"Source OMRG is absent from Qadsiya_Dev"
units_of_measure,public.units_of_measure,public,"41 rows; 37 distinct source UOM keys plus generated/default entries",code; name; metadata.sap_uom_entry,CONFIRMED_CORRECT,"Source OUOM has 37 rows; four generated/default entries are target normalization"
uom_groups,public.uom_groups/public.uom_group_lines,public,"Relation exists; staged uom_groups batches are present",group code; conversion lines,CONFIRMED_CORRECT,"Detailed conversion semantics were not a primary parity defect in this sweep"
variants,public.product_variants,public,"No loaded product variant rows observed",product_id; variant key; sku,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"No separate SAP variant migration path was confirmed"
barcodes,public.product_barcodes,public,"27,445 rows/distinct barcodes; source OBCD raw rows 27,591 but distinct codes 27,445",product_id; barcode,CONFIRMED_CORRECT,"Duplicate source barcode values are normalized by target uniqueness"
prices,public.price_lists/public.product_prices,public,"10 price lists; 16,686 positive-price product rows",price_list_id; product_id; price; currency_code,CONFIRMED_CORRECT,"Matches source OPLN and positive-price ITM1 slice"
taxes,public.tax_categories,public,"0 tax master rows; target tax_category_id/tax_rate NULL on all 5,472,485 invoice lines",tax code; rate; invoice-line reference,DOCUMENTATION_GAP,"Calculated tax amounts are populated and reconcile; tax master/reference migration is not represented"
inventory,public.inventory_stock,public,"158,466 rows; 7,203 distinct product/store pairs; every pair appears 22 times",product_id; store_id; quantity; metadata.sap_item_code; metadata.sap_whs_code,CONFIRMED_DATA_MISMATCH,"Source eligible OITW key set is 7,203; excess duplicate rows are 151,263"
warehouses,public.stores,public,"2 rows",code; name; metadata,CONFIRMED_CORRECT,"Matches source OWHS count"
