finding_id,severity,classification,domain,source_table,source_column,target_table,target_column,code_location,expected_behavior,implemented_behavior,evidence,representative_keys,developer_recommendation,verification_needed
F001,High,CONFIRMED_CODE_DEFECT,invoice line discounts,INV1,DiscPrcnt;PriceBefDi;Quantity;LineTotal,invoice_lines,discount_amount,"packages/sap/schema/tables.go:425-439; packages/sap/mappings/models.go:780-865; packages/core/usecase/sap_migration.go:768-787","The source line percentage and an auditable monetary interpretation should be carried into the target according to an explicit SAP rounding/sign contract.","The source fields are not selected or mapped; all 5,472,485 restored target invoice_lines have discount_amount=0.00.","Eligible source lines: 5,472,485; nonzero DiscPrcnt: 2,192,345; exact -23 exists in source and target line totals still reconcile.","DocEntry=80306; LineNum=5; DocNum=2022025735","Add raw source discount evidence and derive a monetary amount only under the approved SAP rounding/sign semantics; preserve signed source values and do not blindly negate or absolute-value them.","Compare source-derived line discount values with target rows and confirm rounding on representative positive and negative cases."
F002,High,CONFIRMED_CODE_DEFECT,invoice currency,OINV,DocCur,invoices,currency_code,"packages/sap/schema/tables.go:405-423; packages/sap/mappings/models.go:780-865; packages/core/usecase/sap_migration.go:747-760; packages/core/db/schema/85_zatca.sql:21-98","The source invoice currency must be mapped to the target currency field.","OINV.DocCur is not selected or mapped; all 969,665 restored target invoices have currency_code=USD.","All 969,665 audited OINV rows have DocCur=SAR; target public.currencies contains SAR, so this is not a missing-master condition.","DocEntry=80306; all OINV rows","Map source currency with an explicit fallback/error policy and ensure target totals use that currency.","Reconcile target currency_code to source DocCur and validate monetary totals by currency."
F003,High,CONFIRMED_DATA_MISMATCH,invoice cancellation and status,OINV,DocStatus;CANCELED;DocSubType;RetInvoice,invoices,invoice_status,"packages/sap/schema/tables.go:405-423; packages/sap/mappings/models.go:780-865; packages/core/usecase/sap_migration.go:747-760","Cancellation and source status semantics should be preserved or filtered according to an approved migration policy.","The mapper derives status from paid amounts and does not use CANCELED; the restored target has no cancelled invoice_status.","Source has CANCELED Y=2,672 and C=2,672, 5,344 canceled documents total; target status distribution is paid=969,612, sent=52, partially_paid=1, cancelled=0.","CANCELED=Y/C source document sets","Define whether cancelled documents are loaded, excluded, or represented as cancelled, then map/filter using source status consistently.","Reconcile source cancellation/status distributions to target status and document counts."
F004,Medium,CONFIRMED_CODE_DEFECT,service invoices,OINV,DocType;DocSubType,invoices/invoice_lines,invoice_type/item_type,"packages/sap/mappings/models.go:671-900; packages/core/db/schema/85_zatca.sql:21-163","Service documents should retain a distinct type or be explicitly included in a documented product-only policy.","The mapper hardcodes standard invoice/product line behavior and does not inspect DocType; 31 source headers are DocType=S.","OINV DocType I=969,634 and S=31; migration query does not select DocType.","Representative keys from DocType=S sample","Conceptually carry source document type into the target model or document and enforce the approved handling of service lines.","After restore, locate all 31 service documents and verify their target type/line representation."
F005,Medium,CONFIRMED_SOURCE_DATA_CONDITION,invoice header discounts,OINV,DiscSum;DiscPrcnt,invoices,discount_amount,"packages/sap/schema/tables.go:405-423; packages/sap/mappings/models.go:723-865; packages/core/usecase/sap_migration.go:747-760; packages/core/db/schema/90_views_functions.sql:43-73","Signed source header amounts should be interpreted according to SAP document arithmetic before mapping to a target field whose total trigger subtracts the amount.","OINV.DiscSum is mapped correctly; source and target distributions and weighted sums match exactly. Negative signed values still require business interpretation.","35,097 negative DiscSum rows; min -0.44; source/target sum -725.45; target total reconciliation max difference 0.00.","DocEntry=89366; DocNum=2022034795","Preserve signed raw fields, document the meaning of negative header adjustments, and derive new values only after policy approval.","Validate positive/negative header cases against the target trigger and approved policy."
F006,Medium,CONFIRMED_SOURCE_DATA_CONDITION,invoice line discounts,INV1,DiscPrcnt,invoice_lines,discount_amount,"packages/sap/schema/tables.go:425-439; packages/sap/mappings/models.go:671-900","Negative source percentages should be treated as source semantics requiring an explicit rule, not automatically corrected by sign manipulation.","The migration omits DiscPrcnt entirely; no sign transform occurs in the current line mapper.","1,377,735 negative DiscPrcnt rows; min -4,685; exact -23 row is source data and arithmetic is consistent.","DocEntry=80306; LineNum=5; ItemCode=INV04287","Conceptually preserve source percentage and calculate money from the agreed SAP formula, with a documented policy for negative percentage rows.","After restore, validate positive and negative line cases against target discount_amount and line totals."
F007,High,CONFIRMED_DATA_MISMATCH,invoice output,OINV/INV1,DocEntry;DiscPrcnt;DiscSum,invoices/invoice_lines,discount_amount,"packages/core/usecase/sap_migration.go:747-787; packages/core/db/schema/85_zatca.sql:21-163","Target rows and post-load values must be reconciled before asserting a target-side symptom.","The restored target proves header totals/discounts reconcile, while line discounts and invoice currency are not preserved.","Target restored successfully: invoices=969,665, invoice_lines=5,472,485; header discount aggregates match; line discount nonzero count=0; target invoice currency USD=969,665.","DocEntry=80306; line 5; all invoice metadata keys","Keep the isolated restore as the evidence baseline and implement field-level fixes only under approved discount/currency/status policy.","Rerun the SELECT-only checks after remediation and compare source/target aggregates."
F008,Informational,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,credit notes and returns,ORIN/RIN1,DocEntry;DiscPrcnt;DiscSum;LineTotal,none,none,"packages/sap/schema/tables.go; packages/sap/mappings/models.go; packages/core/usecase/sap_migration.go","Credit notes and returns should be included or explicitly excluded by migration scope.","No extractor, contract, mapper, or target insert for ORIN/RIN1 was found.","ORIN=1,387 and RIN1=7,704; both positive and negative discount values exist.","ORIN/RIN1 aggregate population","Conceptually document the omission and define separate return/credit-note handling before claiming full sales parity.","If returns are in scope, map them in a separate authorized design review and validate source/target counts."
F009,Low,CONFIRMED_SOURCE_DATA_CONDITION,brands,OMRG,FirmCode;FirmName,brands,external_id;name,"packages/sap/mappings/models.go:346-367; apps/sap-agent/internal/source/catalog.go:45-67","A missing optional source table should be handled deliberately without making unrelated discovery fail.","OMRG is absent; the brand extractor catches the query error and returns empty, while the table-count discovery list includes OMRG and warns/fails the aggregate count query.","sys.objects has no dbo.OMRG in Qadsiya_Dev; OITM still contains FirmCode references.","OMRG absent; OITM sample not exported","Conceptually record optional-table availability and isolate its failure from other domain discovery; decide whether brand absence is acceptable.","After any source remediation or policy decision, rerun metadata checks and compare product brand references."
F010,Medium,CONFIRMED_DATA_MISMATCH,purchase orders and goods receipts,OPOR/POR1/OPDN/PDN1,BaseEntry;BaseLine;BaseType,purchase_orders/goods_receipt_notes,purchase_order_id;purchase_order_line_id,"packages/sap/mappings/models.go:1153;1258-1276; packages/core/usecase/sap_migration.go:609-655","Source PO base links should resolve to target purchase-order header and line foreign keys.","The restored target has NULL PO links for all 7,128 GRNs and 73,639 items; 15 source GRNs/248 lines carry BaseType=22 and BaseEntry/BaseLine PO links.","Loaded supplier/store mismatch counts are zero; the observed defect is PO-link key construction, not arbitrary fallback for the loaded rows.","Source linked GRN samples including DocEntry=4158/BaseEntry=11675; target GRN/item rows","Use the same stable SAP key on both PO and GRN paths, or quarantine unresolved base links with diagnostics.","Assert every source BaseType=22 link resolves to the intended target PO and line."
