action_id,priority,severity,source_finding,classification,domain,evidence,conceptual_action,regression_test,dependency,status
A01,1,High,S2-F001,CONFIRMED_DATA_MISMATCH,invoice line discounts,"Source nonzero DiscPrcnt=2192345; target line discount nonzero count=0","Add raw SAP percentage/price evidence and derive monetary discount only under approved signed/rounding policy","Compare source positive/negative representatives and exact DocEntry 80306 line 5 to target metadata, discount, line subtotal, tax, and total","Finance sign/rounding policy",REMEDIATION_REQUIRED
A02,2,High,S2-F002,CONFIRMED_DATA_MISMATCH,invoice currency,"Source SAR=969665; target USD=969665; SAR exists in target master","Map OINV.DocCur explicitly and define fallback/error policy","Reconcile source DocCur to target currency_code and totals by currency","Currency policy and source field contract",REMEDIATION_REQUIRED
A03,3,High,S2-F003,CONFIRMED_DATA_MISMATCH,cancellation/status,"Source canceled Y/C=5344; target cancelled=0","Define whether canceled documents are excluded or represented and map/filter source CANCELED","Reconcile CANCELED/DocStatus distributions to target status and document count","Approved scope/status policy",POLICY_REQUIRED
A04,4,Medium,S2-F004,CONFIRMED_DATA_MISMATCH,service invoices,"Source DocType=S=31; target standard=969665 and service lines product/null-product","Carry DocType into target or explicitly quarantine/document service handling","Locate all 31 service source keys and assert target type/item representation","Approved service-document policy",POLICY_REQUIRED
A05,5,High,S2-F005,CONFIRMED_DATA_MISMATCH,incoming payments,"Source positive AR allocations=961745 across 1329 payment docs; target invoice_payments=0","Include incoming-payment batches and stable invoice linking, or explicitly exclude payment detail","Compare payment allocation count/sum and target payment rows by source key","Payment scope and linkage policy",REMEDIATION_REQUIRED
A06,6,Medium,S2-F006,CONFIRMED_DATA_MISMATCH,invoice line UOM,"Source UnitMsr nonblank=5472454; target uom_id NULL=5472485","Resolve line UOM to target units or retain source UOM audit evidence","Count source nonblank UnitMsr rows and target line uom_id coverage","UOM mapping contract",REMEDIATION_REQUIRED
A07,7,High,S2-F007,CONFIRMED_DATA_MISMATCH,inventory replay,"Source distinct product/store keys=7203; target rows=158466; excess=151263","Add unique source inventory key/upsert and replay-safe batch behavior","Run inventory batch twice in a disposable target and assert one row per source key","Replay harness and target constraint migration",REMEDIATION_REQUIRED
A08,8,Medium,S2-F008,CONFIRMED_DATA_MISMATCH,GRN purchase-order links,"Source PO-linked GRNs=15/248 lines; target PO links NULL for all GRNs/items","Use a shared PO identifier based on the same SAP key in purchase and GRN mappers","Assert every source BaseType=22 BaseEntry/BaseLine resolves to target PO and PO line","Key contract and source BaseType policy",REMEDIATION_REQUIRED
A09,9,High,S2-F009,CONFIRMED_DATA_MISMATCH,stock movement replay,"Source eligible rows=2163651; target rows=2710151; excess duplicates=546500","Add unique source movement key/upsert and replay-safe batch behavior","Compare distinct metadata.sap_trans_num to source and rerun a disposable batch","Replay harness and target constraint migration",REMEDIATION_REQUIRED
A10,10,Low,S2-F010,CONFIRMED_DATA_MISMATCH,partner addresses,"Source CRD1=1; target partner_addresses=0; no address staging domain","Load addresses or record explicit scope exclusion","Compare CRD1 source keys to target partner address keys","Address scope decision",POLICY_REQUIRED
A11,11,Medium,S2-F011,DOCUMENTATION_GAP,run configuration,"Target contains 315715 invoices before current configured start date 2023-01-01","Persist the exact effective migration configuration with every run","Report target date distribution alongside recorded effective start/end dates","Run metadata contract",DOCUMENTATION_REQUIRED
A12,12,Medium,S2-F012,DOCUMENTATION_GAP,failed batches,"366 failed invoice batches; record_count_sum=182686; error text empty","Persist structured batch errors and reconcile failed record counts to target outcomes","Assert failed batches have nonempty diagnostics and source/target row disposition","Batch error schema/observability",DOCUMENTATION_REQUIRED
A13,13,Medium,S2-F013,DOCUMENTATION_GAP,tax references,"tax_categories=0; line tax_category_id/tax_rate NULL; calculated tax totals reconcile","Decide whether tax master/reference fields are in scope and document calculated-only behavior","Count target tax references and reconcile tax amounts to source VatSum","Tax master scope and mapping contract",POLICY_REQUIRED
A14,14,Informational,F005,CONFIRMED_SOURCE_DATA_CONDITION,header discounts,"Header DiscSum source/target distributions and weighted aggregates match exactly","Protect existing DiscSum mapping; document signed adjustment semantics","Assert header distribution, weighted sums, and total trigger reconciliation","Finance sign policy",VALIDATED_NO_DEFECT
A15,15,Informational,F008,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,returns,"Source ORIN/RIN1=1387/7704; no migration path","Document credit-note/return scope before claiming full sales parity","Run source/target return counts only if scope is approved","Return scope decision",POLICY_REQUIRED
