domain,source_table,source_column,source_key,target_table,target_column,target_key,transformation,code_location,status,evidence,notes
stores,OWHS,"WhsCode;WhsName",WhsCode,stores,"code;name",id,"Maps warehouse code/name and generates target identifiers",packages/sap/mappings/models.go:37-88; packages/sap/schema/tables.go:35-48,CONFIRMED_CORRECT,"OWHS exists with 2 rows; warehouse query and store mapper are present","Target identifier generation and any downstream store fallback should be verified after restore"
storage_locations,OBIN,"BinCode;WhsCode;BinCode",AbsEntry,storage_locations,"code;warehouse_id",id,"Maps bins when present",packages/sap/mappings/models.go:90-132; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OBIN exists but contains 0 rows","No source bin rows to validate"
users,OUSR,"USERID;USER_CODE;U_NAME",USERID,users,"external_id;username;name",id,"Maps SAP user identity and display fields",packages/sap/mappings/models.go:134-186; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OUSR contains 32 rows","Authentication/authorization behavior is outside this migration audit"
cashiers,OSLP,"SlpCode;SlpName",SlpCode,cashiers,"external_id;name",id,"Maps salesperson/cashier reference",packages/sap/mappings/models.go:188-242; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OSLP contains 1 row","Role semantics are not established from source alone"
units_of_measure,OUOM,"UomEntry;UomCode;UomName",UomEntry,units_of_measure,"code;name",id,"Maps UOM identity and name",packages/sap/mappings/models.go:248-280; packages/sap/schema/tables.go:72-86,CONFIRMED_CORRECT,"OUOM contains 37 rows","Fallback query can use OITM unit fields"
uom_groups,OUGP/UGP1,"UgpEntry;UgpCode;UgpName;UomEntry;BaseQty",UgpEntry + UomEntry,uom_groups/uom_group_lines,"code;name;conversion",id,"Maps group header and conversion lines",packages/sap/mappings/models.go:282-317; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OUGP 345 and UGP1 1,118 rows","Conversion semantics should be checked against target units after restore"
categories,OITB,"ItmsGrpCod;ItmsGrpNam",ItmsGrpCod,categories,"external_id;name",id,"Maps item group to category",packages/sap/mappings/models.go:319-344; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OITB contains 27 rows","No separate product-type source mapping was found"
brands,OMRG,"FirmCode;FirmName",FirmCode,brands,"external_id;name",id,"Attempts to map manufacturer/brand; extractor returns empty on query error",packages/sap/mappings/models.go:346-367; apps/sap-agent/internal/source/catalog.go:45-67,CONFIRMED_SOURCE_DATA_CONDITION,"OMRG is absent from Qadsiya_Dev; restored target brands=0 and all product brand_id values are NULL","Record optional-table absence explicitly; do not treat empty source brands as a target loading defect"
products,OITM,"ItemCode;ItemName;ItmsGrpCod;InvntryUom;VatGourpSa;FirmCode;validFor",ItemCode,products,"sku;name;category_id;unit_id;tax_id;brand_id;is_active",id,"Maps item master, resolves category/UOM/tax/brand references, normalizes active flag",packages/sap/mappings/models.go:369-537; packages/sap/schema/tables.go:156-197,CONFIRMED_CORRECT,"OITM contains 16,955 rows; related OITB/OUOM tables exist","Brand may be empty because OMRG is unavailable"
barcodes,OBCD,"ItemCode;BcdCode;UomEntry",ItemCode + BcdCode,product_barcodes,"product_id;barcode",id,"Maps item barcode rows and resolves product",packages/sap/mappings/models.go:539-568; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OBCD contains 27,591 rows","Duplicate/primary barcode policy needs target-side validation"
price_lists,OPLN/ITM1,"ListNum;ListName;ItemCode;Price;Currency;UomEntry",ListNum + ItemCode,price_lists/product_prices,"list_id;product_id;amount;currency_code",id,"Maps price-list headers and item prices; positive-price query path is used",packages/sap/mappings/models.go:906-971; packages/sap/schema/tables.go:224-253,CONFIRMED_CORRECT,"OPLN 10 and positive-price ITM1 16,686 rows","Currency and UOM behavior require parity validation"
inventory,OITW,"ItemCode;WhsCode;OnHand;IsCommited;OnOrder",ItemCode + WhsCode,inventory_stock,"product_id;store_id;quantity",id,"Maps warehouse item balances without a target uniqueness key",packages/sap/mappings/models.go:574-613; packages/sap/schema/tables.go; packages/core/usecase/sap_migration.go:412-429,CONFIRMED_CODE_DEFECT,"Source eligible key set is 7,203 product/store pairs; target has 158,466 rows, exactly 22 copies per pair","Add an idempotent source-key constraint/upsert before replaying inventory batches"
business_partners,OCRD,"CardCode;CardName;CardType;Balance;Phone1;E_Mail",CardCode,customers/suppliers,"external_code;name;type;balance;contact",id,"Splits customer/supplier business partners by CardType",packages/sap/mappings/models.go:619-665; packages/sap/schema/tables.go,CONFIRMED_CORRECT,"OCRD contains 14 customer and 387 supplier rows","The exact target entity names are resolved by target model code"
partner_addresses,CRD1,"CardCode;Address;AdresType;Street;City;State;Country",CardCode + Address,partner_addresses,"partner_id;label;type;address",id,"Defines a mapping path, but the restored target contains no partner address rows",packages/sap/mappings/models.go:978-1028; packages/sap/schema/tables.go,CONFIRMED_CODE_DEFECT,"CRD1 contains 1 source row; target partner_addresses count is 0 and no partner-address staging domain is present","Include the address domain or document its explicit exclusion"
