domain,source_tables,source_observed_count,source_eligibility_note,target_candidate,target_count,source_missing_from_target,target_extra_rows,source_duplicate_keys,target_duplicate_keys,field_mismatch_count,classification,severity,representative_keys,notes
stores,OWHS,2,"Raw source count",public.stores,2,0,0,0,0,0,CONFIRMED_CORRECT,Low,WhsCode,Target store count matches source
storage_locations,OBIN,0,"Raw source count",public.storage_locations,0,0,0,0,0,0,CONFIRMED_SOURCE_DATA_CONDITION,Low,none,No source bins to compare
users/cashiers,OUSR/OSLP,"32 / 1","Raw source counts; target includes baseline users",public.users/public.cashiers,"40 / 1",NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,DOCUMENTATION_GAP,Low,USERID/SlpCode,Target baseline users prevent a direct count-only parity assertion
uom,OUOM/OUGP/UGP1,"37 / 345 / 1,118","Source UOM master and conversion sources",public.units_of_measure,41,0,4,0,0,0,CONFIRMED_CORRECT,Low,UomEntry,UOM target has 37 distinct source keys plus four generated/default rows
categories,OITB,27,"Raw source count",public.product_categories,27,0,0,0,0,0,CONFIRMED_CORRECT,Low,ItmsGrpCod,All target rows carry source item-group metadata
brands,OMRG,0,"Source table absent; extractor returns empty",public.brands,0,0,0,NOT_APPLICABLE,0,0,CONFIRMED_SOURCE_DATA_CONDITION,Low,FirmCode,OMRG is absent from source
products,OITM,16955,"Raw source count",public.products,16955,0,0,0,0,0,CONFIRMED_CORRECT,Low,ItemCode,All target rows have distinct sap_item_code metadata
barcodes,OBCD,27591,"Raw rows; distinct source BcdCode=27445",public.product_barcodes,27445,0,0,146,0,0,CONFIRMED_CORRECT,Low,BcdCode,Duplicate source barcode rows collapse to target unique barcode rows
prices,OPLN/ITM1,16686,"Positive-price ITM1 rows",public.product_prices,16686,0,0,0,0,0,CONFIRMED_CORRECT,Low,ListNum+ItemCode,Target positive-price row count matches source slice
inventory,OITW,7203,"OnHand<>0 OR IsCommited<>0 OR OnOrder<>0; distinct product/store keys",public.inventory_stock,158466,0,151263,0,151263,0,CONFIRMED_DATA_MISMATCH,High,ItemCode+WhsCode,Every target key appears exactly 22 times
customers,OCRD,14,"CardType customer",public.customers,14,0,0,0,0,0,CONFIRMED_CORRECT,Low,CardCode,Customer keys and business_partner links reconcile
suppliers,OCRD,387,"CardType supplier",public.suppliers,387,0,0,0,0,0,CONFIRMED_CORRECT,Low,CardCode,Supplier keys reconcile
partner_addresses,CRD1,1,"Raw source address rows",public.partner_addresses,0,1,0,0,0,1,CONFIRMED_DATA_MISMATCH,Low,CardCode=V00059/Address=V00059,No partner-address staging domain is present
sales_orders,ORDR/RDR1,"1 / 1","Raw source headers/lines",public.sales_orders_v2/public.sales_order_lines_v2,"1 / 1",0,0,0,0,0,CONFIRMED_CORRECT,Low,DocEntry,Loaded target uses v2 relations
invoices,OINV,969665,"All invoice headers; target count is one-to-one by metadata.sap_doc_entry",public.invoices,969665,0,0,0,0,3,CONFIRMED_DATA_MISMATCH,High,DocEntry=80306,"Currency mismatch=969665; canceled source documents=5344; service documents=31; header discounts/totals reconcile"
invoice_lines,INV1,5472488,"5472485 inner-join eligible lines; 3 orphan source lines",public.invoice_lines,5472485,0,0,0,0,2192345,CONFIRMED_DATA_MISMATCH,High,DocEntry=80306/LineNum=5,"Source nonzero DiscPrcnt=2192345; target line discount=0 for all; source UnitMsr nonblank=5472454 and target uom_id NULL for all"
invoice_payments,ORCT/RCT2,961745,"Positive AR invoice allocations; 1329 payment documents",public.invoice_payments,0,961745,0,0,961745,CONFIRMED_DATA_MISMATCH,High,InvType=13,Target has no payment detail or incoming_payments staging domain
purchase_orders,OPOR/POR1,"99 / 1,755","Loaded 2024-2025 slice; source raw totals are larger",public.purchase_orders/public.purchase_order_lines,"99 / 1,755",0,0,0,0,0,CONFIRMED_CORRECT,Low,DocEntry,Counts and supplier/store keys match loaded slice
goods_receipts,OPDN/PDN1,"7128 / 73639","Loaded 2024-2025 slice",public.goods_receipt_notes/public.goods_receipt_note_items,"7128 / 73639",0,0,0,7128,263,CONFIRMED_DATA_MISMATCH,Medium,BaseType=22,All target PO links are NULL; source has 15 PO-linked headers and 248 linked lines
stock_movements,OINM,2163651,"DocDate >= 2024-01-01 and < 2026-01-01",public.stock_movements,2710151,0,546500,0,546500,0,CONFIRMED_DATA_MISMATCH,High,TransNum,Distinct source keys match but replayed target rows contain 546500 excess duplicates
returns,ORIN/RIN1,"1,387 / 7,704","Source populated; no implemented migration domain",public.sales_returns/public.sales_return_lines,0,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,0,0,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,Informational,DocEntry,Separate return/credit-note scope is required
tax_reference,OSTC/OVTG or source tax masters,NOT_QUERIED,"Calculated VAT was audited; no independent tax-master parity source was used",public.tax_categories,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,5,472,485,DOCUMENTATION_GAP,Medium,TaxCode,Calculated target tax amounts reconcile but tax references are NULL
invoice_eligibility,OINV,969665,"Target contains 315715 invoices dated before current config invoice_start_date=2023-01-01",public.invoices,969665,NOT_APPLICABLE,NOT_APPLICABLE,0,315715,DOCUMENTATION_GAP,Medium,2021-2022,The actual historical run configuration is not recorded in the restored artifact
staging_invoice_batches,staging.sap_migration_batches,366,"Failed invoice batches; record_count_sum=182686; error text empty",staging.sap_migration_batches,366,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,366,DOCUMENTATION_GAP,Medium,domain=invoices,Failed-batch audit trail is insufficiently diagnostic; target invoice count still matches source
