check_id,source_locator,source_field,source_value,target_relation,target_field,target_value,expected_or_interpretation,classification,severity,evidence,developer_action
R001,OINV.DocEntry=80306,DocNum,2022025735,public.invoices,invoice_number,INV-SAP-2022025735,Target identifier is the documented SAP invoice-number transformation,CONFIRMED_CORRECT,Low,Target metadata.sap_doc_entry=80306,Keep metadata source key and invoice-number convention stable
R002,INV1.DocEntry=80306;LineNum=5,ItemCode,INV04287,public.invoice_lines,product_sku,INV04287,Product SKU is retained and product_id resolves to target product 4372,CONFIRMED_CORRECT,Low,Target line metadata and product lookup,Keep source item key in line metadata
R003,INV1.DocEntry=80306;LineNum=5,Quantity,0.325000,public.invoice_lines,quantity,0.325000,Quantity should match source,CONFIRMED_CORRECT,Low,Exact target line lookup,Retain decimal precision policy
R004,INV1.DocEntry=80306;LineNum=5,PriceBefDi,16.960000,public.invoice_lines,unit_price,20.860000,Target unit_price is SAP stored Price, not PriceBefDi,CONFIRMED_CORRECT,Medium,Source PriceBefDi and Price arithmetic,Document both raw prices if discount audit is required
R005,INV1.DocEntry=80306;LineNum=5,Price,20.860000,public.invoice_lines,unit_price,20.860000,Stored source price is retained,CONFIRMED_CORRECT,Low,Exact target line lookup,No price correction required
R006,INV1.DocEntry=80306;LineNum=5,DiscPrcnt,-23.000000,public.invoice_lines,discount_amount,0.000000,Source percentage is omitted; it must not be copied as -23 currency units,CONFIRMED_DATA_MISMATCH,High,Target all-line discount nonzero count=0; eligible source nonzero DiscPrcnt=2192345,Add raw percentage evidence and an approved signed monetary derivation
R007,INV1.DocEntry=80306;LineNum=5,derived_base_amount,5.512000,public.invoice_lines,discount evidence,NULL,Quantity*PriceBefDi before signed adjustment,CONFIRMED_DATA_MISMATCH,Medium,Independent source calculation,Preserve inputs needed to reproduce the calculation
R008,INV1.DocEntry=80306;LineNum=5,derived_signed_adjustment,-1.268000,public.invoice_lines,discount_amount,0.000000,Base amount minus stored line total behaves as a surcharge under gross-minus-discount semantics,CONFIRMED_SOURCE_DATA_CONDITION,High,5.512 - 6.780 = -1.268,Require finance policy before populating target discount_amount
R009,INV1.DocEntry=80306;LineNum=5,LineTotal,6.780000,public.invoice_lines,line_total,7.800000,Target line_total uses source gross GTotal semantics,CONFIRMED_CORRECT,Low,Source LineTotal 6.78 + VatSum 1.02 = GTotal 7.80,Keep target gross-line convention explicit
R010,INV1.DocEntry=80306;LineNum=5,VatSum,1.020000,public.invoice_lines,tax_amount,1.020000,Calculated tax is retained,CONFIRMED_CORRECT,Low,Exact target line lookup and aggregate tax parity,Keep tax amount mapping
R011,INV1.DocEntry=80306;LineNum=5,GTotal,7.800000,public.invoice_lines,line_total,7.800000,Target gross line total matches source,CONFIRMED_CORRECT,Low,Exact target line lookup,No total correction required
R012,OINV.DocEntry=80306,DiscSum,0.000000,public.invoices,discount_amount,0.000000,Header monetary discount is mapped,CONFIRMED_CORRECT,Low,Exact row and all-header weighted aggregates match,Protect header DiscSum mapping while handling signed policy
R013,OINV.DocEntry=80306,DocTotal,88.300000,public.invoices,total_amount,88.300000,Header total reconciles to target line/tax values,CONFIRMED_CORRECT,Low,Exact row and all-header total reconciliation,Keep target trigger validation
R014,OINV.DocEntry=80306;INV1.LineNum=5,DocCur/Currency,SAR/SAR,public.invoices, currency_code,USD,Source currency is not mapped to invoice headers; invoice line has no currency column,CONFIRMED_DATA_MISMATCH,High,All source headers SAR and all target headers USD,Map source currency explicitly
R015,OINV.DocEntry=80306;INV1.LineNum=5,header_subtotal,76.780000,public.invoices,subtotal,76.780000,Target subtotal is total minus tax and reconciles,CONFIRMED_CORRECT,Low,Exact row and all-header subtotal mismatch count=0,Retain aggregate reconciliation
R016,INV1.DocEntry=80306;LineNum=5,UnitMsr,kg,public.invoice_lines,uom_id,NULL,Source line UOM is not represented in target line foreign key,CONFIRMED_DATA_MISMATCH,Medium,Target uom_id NULL on all 5472485 lines; source UnitMsr nonblank on 5472454,Map or explicitly document line UOM handling
R017,OINV.DocEntry=80306,DocStatus/CANCELED/DocType,C/Y/S where applicable,public.invoices,invoice_status/invoice_type,paid/standard,Source cancellation and service type are not preserved,CONFIRMED_DATA_MISMATCH,High,Target cancelled=0 and standard=969665,Define source status/type policy and map/filter accordingly
